,director_name,id
621,Craig Gillespie,50767.0
626,Rob Bowman,12523.0
627,Doug Lefler,58656.0
629,Scott Waugh,293911.0
632,Lawrence Kasdan,8844.0
636,Michael Lembeck,15045.0
637,Tom Hooper,70500.0
638,Nora Ephron,9248.0
642,Angelina Jolie,11701.0
643,Clint Eastwood,190.0
649,Larry Charles,6767.0
650,Stanley Kubrick,240.0
651,Will Gluck,82511.0
652,Glenn Ficarra,56411.0
654,David S. Goyer,3893.0
660,Taylor Hackford,18596.0
664,Michael Lehmann,7145.0
666,Stuart Beattie,1707.0
667,Roman Polanski,3556.0
669,Robert Rodriguez,2294.0
671,Baltasar Kormákur,67813.0
678,Daniel Lee,57832.0
679,Keenen Ivory Wayans,35689.0
681,Rob Reiner,3026.0
682,Marco Schnabel,71527.0
683,Demian Lichtenstein,71418.0
685,Josh Gordon,60922.0
686,Tim Hill,49903.0
689,David Frankel,5065.0
703,Marc Lawrence,18323.0
705,Peter Billingsley,12708.0
708,Wes Ball,1179066.0
709,Ryan Murphy,52779.0
713,Robert Redford,4135.0
716,Jay Russell,46297.0
719,Kenny Ortega,65310.0
721,David McNally,48980.0
725,Brian Robbins,53177.0
727,Brian Levant,13581.0
729,Steven Zaillian,2260.0
730,Sam Fell,58897.0
733,Jon Avnet,18250.0
734,Robert Stevenhagen,64152.0
735,Kevin Donovan,66654.0
736,Geoff Murphy,32277.0
738,David O. Russell,17883.0
739,Babak Najafi,132239.0
740,Jean-Pierre Jeunet,2419.0
742,Anthony Stacchi,52691.0
743,Griffin Dunne,2171.0
745,John Pasquin,58072.0
747,Ruben Fleischer,91268.0
748,Harold Ramis,1524.0
750,Kevin Macdonald,17350.0
752,Donald Petrie,18281.0
754,Jorge Blanco,117052.0
755,Stuart Baird,2523.0
756,Joel Coen,1223.0
757,Robert Lorenz,4746.0
762,Harold Becker,23213.0
768,Scott Stewart,116357.0
773,Tony Bill,57138.0
774,Rod Lurie,21526.0
775,Walter Hill,1723.0
776,Akiva Goldsman,5575.0
777,Harald Zwart,21981.0
779,Walter Salles,8574.0
781,Iain Softley,1978.0
782,Frank Miller,2293.0
783,David Koepp,508.0
784,Uwe Boll,23799.0
786,Soi Cheang,93991.0
787,John Dahl,21053.0
788,Tim Miller,55252.0
789,Stephen Herek,18356.0
794,Peter MacDonald,16589.0
800,Anthony Hemingway,1216147.0
802,Sean Anders,74619.0
805,Brian Taylor,20192.0
806,John Madden,18844.0
808,Kevin Bray,34453.0
812,Mike Gabriel,65530.0
816,Sam Weisman,54967.0
817,Jesse Dylan,54584.0
822,Wayne Wang,39819.0
824,Gabriele Muccino,20646.0
833,Tom Dey,46076.0
837,Jimmy Hayward,8029.0
839,Alan Parker,9168.0
840,John Frankenheimer,13776.0
842,Paul King,101666.0
843,Akiva Schaffer,62854.0
844,William Friedkin,15175.0
847,Kent Alterman,65702.0
848,Peter Lord,53304.0
853,Shekhar Kapur,37630.0
854,Karyn Kusama,54025.0
855,Ronald F. Maxwell,66088.0
856,Robert Butler,101767.0
860,Steve Antin,42745.0
863,Jim Gillespie,33254.0
867,Francis Ford Coppola,1776.0
870,Richard Lester,10586.0
877,Scott Cooper,65167.0
882,Curtis Hanson,323.0
886,Phyllida Lloyd,71068.0
888,Jay Chandrasekhar,52049.0
889,Terrence Malick,30715.0
890,David Dobkin,42994.0
891,Miloš Forman,3974.0
893,Pierre Morel,35453.0
894,Paul Hunter,70573.0
896,Steve Oedekerk,4489.0
897,John Whitesell,61175.0
900,George Nolfi,1921.0
912,Neil Jordan,17016.0
914,Rawson Marshall Thurber,57633.0
918,Spike Lee,5281.0
919,Brian Helgeland,4723.0
920,Frank Marshall,664.0
924,Hideo Nakata,26875.0
926,Peter Hewitt,18357.0
927,Joe Roth,18311.0
928,Bennett Miller,5345.0
930,Jaume Collet-Serra,59521.0
931,Andy Fickman,58375.0
932,James McTeigue,11266.0
934,Matthew O'Callaghan,61290.0
935,Angela Robinson,7312.0
936,Gary Fleder,5501.0
937,Tommy Wirkola,76927.0
938,Adrian Lyne,7270.0
940,Stephen Gaghan,2945.0
942,Jorge R. Gutierrez,1265056.0
943,Richard Loncraine,33315.0
947,Christophe Gans,8296.0
948,Howard Deutch,26502.0
949,Jon Hurwitz,68843.0
951,Steven Quale,93214.0
952,John Landis,4610.0
956,Alexander Witt,17649.0
957,Beeban Kidron,20237.0
958,Carl Franklin,21712.0
959,Steven Seagal,23880.0
961,Danny Boyle,2034.0
965,Andrew Bergman,41550.0
968,Barbet Schroeder,23393.0
970,Peter Webber,16785.0
972,Andrew Niccol,8685.0
976,John Carpenter,11770.0
978,Wes Anderson,5655.0
983,David Cronenberg,224.0
984,John Stockwell,57082.0
986,David Gordon Green,64141.0
987,Jim Sheridan,53334.0
988,Costa-Gavras,27436.0
989,Patrick Read Johnson,56059.0
995,Richard LaGravenese,2163.0
996,Danny DeVito,518.0
998,George Armitage,58294.0
1000,Patrick Lussier,27226.0
1002,James Wong,57134.0
1004,Richard Curtis,7018.0
1011,Chuck Bowman,41270.0
1020,Olivier Megaton,75035.0
1023,Deepa Mehta,4760.0
1024,Warren Beatty,6449.0
1026,Penny Marshall,14911.0
1027,Ted Kotcheff,16544.0
1028,Andrei Tarkovsky,8452.0
1029,Yvette Kaplan,31093.0
1030,Stephen Frears,3224.0
1031,P.J. Hogan,3045.0
1038,Brad Furman,144221.0
1039,Terence Young,9855.0
1042,David Zucker,12987.0
1051,Denis Villeneuve,137427.0
1057,Thomas Carter,52038.0
1058,Roger Michell,7017.0
1059,Luis Llosa,26648.0
1066,Melville Shavelson,16745.0
1068,Garth Jennings,52842.0
1069,Joel Zwick,54644.0
1070,Russell Mulcahy,52968.0
1076,David R. Ellis,4755.0
1077,Peter Howitt,7791.0
1078,John A. Davis,60237.0
1079,David Lynch,5602.0
1080,Julie Taymor,16391.0
1083,Mathieu Kassovitz,2406.0
1084,John Gray,35155.0
1086,John Schultz,79656.0
1087,Sean Penn,2228.0
1088,Susan Stroman,60129.0
1089,Simon Wincer,18254.0
1090,Billy Bob Thornton,879.0
1096,Danny Pang,21905.0
1099,George P. Cosmatos,16566.0
1100,Oliver Parker,56710.0
1101,Lawrence Kasanoff,43518.0
1102,Ben Affleck,880.0
1107,Brian Gibson,18069.0
1108,Ben Sharpsteen,11426.0
1109,Michael Cimino,12114.0
1111,Paul McGuigan,2291.0
1112,Gus Van Sant,5216.0
1115,Roger Kumble,11873.0
1117,Burr Steers,58552.0
1121,Nick Park,7314.0
1122,John Hamburg,17871.0
1123,Reginald Hudlin,68215.0
